gens,average_placement,hands_won,mean_money,fitness
gen415,7.950000,5396,3304.998115,6.450000
gen416,8.280000,5009,3324.277699,6.300000
gen417,8.080000,6023,3296.143082,6.300000
gen418,7.890000,5631,3374.944663,6.000000
gen419,7.952000,5455,3534.170321,5.550000
gen420,8.306000,5080,3507.390308,5.850000
gen421,7.979000,5486,3405.259685,6.150000
gen422,8.245000,5159,3418.205149,6.000000
gen423,8.192000,4933,3320.686510,6.150000
gen424,8.106000,5692,3406.732789,5.850000
gen425,8.152000,5670,3380.450925,6.300000
gen426,8.174000,5656,3298.140447,6.450000
gen427,8.089000,5614,3256.632033,6.450000
gen428,7.727000,5738,3266.900159,6.450000
gen429,8.346000,5849,3251.993827,6.300000
gen430,8.375000,5081,3363.300007,6.000000
gen431,7.705000,5218,3489.555813,5.700000
gen432,8.226000,5664,3333.809261,6.300000
gen433,8.303000,5373,3438.585896,6.000000
gen434,7.971000,5692,3349.523681,6.300000
gen435,8.367000,5323,3362.668868,6.150000
gen436,8.675000,5531,3382.251087,5.850000
gen437,8.013000,5774,3314.009850,6.300000
gen438,8.343000,5513,3195.594459,6.450000
gen439,8.406000,5139,3510.229733,6.000000
gen440,8.315000,4716,3307.163021,6.450000
gen441,7.712000,4706,3216.048930,6.450000
gen442,7.844000,5079,3355.677942,6.150000
gen443,8.280000,5047,3227.804791,6.450000
gen444,8.768000,4507,3253.081231,6.450000
gen445,7.971000,5358,3391.671584,6.000000
gen446,8.076000,4916,3485.511898,5.850000
gen447,7.858000,5480,3494.721008,5.850000
gen448,8.202000,4977,3375.442216,5.850000
gen449,7.909000,5460,3376.311433,6.000000
gen450,8.901000,5097,3396.471440,6.000000
gen451,7.993000,5380,3473.751347,5.850000
gen452,8.313000,5367,3364.543692,6.300000
gen453,8.155000,6172,3309.664303,6.150000
gen454,8.649000,5253,3238.385470,6.450000
gen455,8.550000,5290,3351.487831,6.150000
gen456,8.322000,5413,3296.522141,6.300000
gen457,8.450000,4875,3263.731621,6.300000
gen458,8.028000,5764,3335.329057,6.450000
gen459,8.058000,5639,3281.417316,6.450000
gen460,8.192000,5948,3212.235383,6.300000
gen461,8.416000,5587,3314.352471,6.300000
gen462,7.843000,5509,3351.817018,6.150000
gen463,8.190000,5287,3245.508923,6.450000
gen464,8.225000,5604,3385.885288,6.000000
gen465,8.196000,6230,3287.784174,6.150000
gen466,8.041000,5378,3343.801227,6.450000
gen467,8.224000,5525,3438.846982,6.150000
gen468,8.401000,5657,3432.314652,5.850000
gen469,8.138000,5728,3414.853857,5.850000
gen470,8.502000,5751,3203.237357,6.450000
gen471,8.383000,5413,3317.881392,6.300000
gen472,8.606000,5509,3271.701970,6.300000
gen473,8.436000,5697,3309.150275,6.150000
gen474,8.544000,5335,3312.183751,6.150000
gen475,8.705000,5727,3093.213266,6.450000
gen476,7.965000,5254,3517.460803,5.850000
gen477,8.001000,5832,3280.450180,6.300000
gen478,8.283000,5321,3247.920050,6.300000
gen479,8.430000,5151,3196.814676,6.450000
gen480,8.407000,5360,3056.315683,6.450000
gen481,8.761000,4957,3124.346238,6.450000
gen482,8.205000,5604,3200.738462,6.450000
gen483,8.597000,5391,3290.055227,6.300000
gen484,8.203000,5581,3234.269907,6.450000
gen485,8.742000,5034,3103.731311,6.450000
gen486,8.728000,5163,3186.557175,6.450000
gen487,8.401000,5583,3176.264659,6.450000
gen488,8.116000,5947,3306.732019,6.150000
gen489,8.262000,5492,3307.322105,6.450000
gen490,8.266000,5769,3333.793162,6.300000
gen491,8.427000,5106,3278.249404,6.300000
gen492,8.029000,5642,3320.527853,6.150000
gen493,8.184000,5236,3293.394819,6.150000
gen494,8.461000,5273,3076.747614,6.450000
gen495,7.675000,6286,3374.228363,5.850000
gen496,7.946000,5479,3293.801648,6.300000
gen497,7.846000,5258,3221.713600,6.300000
gen498,7.751000,5925,3291.907148,6.150000
gen499,7.818000,5734,3391.425746,6.150000
gen500,6.795000,5368,3428.003250,6.150000
gen501,8.448000,5413,3364.681853,6.000000
gen502,7.903000,5598,3248.871235,6.450000
gen503,7.064000,5795,3326.131875,6.300000
gen504,7.446000,5684,3321.955023,6.300000
gen505,7.284000,5046,3299.747260,6.300000
gen506,7.127000,5616,3263.853462,6.450000
gen507,6.732000,5129,3302.515692,6.300000
gen508,7.050000,5596,3267.446723,6.150000
gen509,7.219000,5670,3348.149856,5.850000
gen510,7.203000,5415,3384.346371,5.850000
gen511,7.411000,5055,3281.421705,6.300000
gen512,8.542000,4987,3439.648314,6.000000
gen513,6.453000,6002,3444.333928,5.700000
gen514,6.927000,6050,3323.845559,6.150000
gen515,6.437000,5960,3408.326755,6.000000
gen516,6.175000,5811,3511.796650,5.850000
gen517,6.294000,5540,3462.888615,5.550000
gen518,6.497000,5249,3538.651247,5.700000
gen519,6.536000,5169,3328.533308,6.300000
gen520,6.461000,5504,3315.698665,6.300000
gen521,6.333000,5196,3387.165366,6.150000
gen522,6.668000,6397,3283.267482,6.150000
gen523,6.341000,5539,3365.579699,6.000000
gen524,6.890000,6505,3219.942136,6.450000
gen525,7.284000,5680,3251.752934,6.300000
gen526,7.125000,6194,3330.635221,6.450000
gen527,6.842000,5973,3276.383335,6.450000
gen528,7.833000,6576,3193.275169,6.450000
gen529,6.813000,6548,3281.427887,6.150000
gen530,6.708000,6414,3148.736164,6.750000
gen531,6.490000,6097,3429.001343,6.450000
gen532,6.674000,6781,3265.641463,6.300000
gen533,6.536000,5959,3308.349508,6.000000
gen534,6.521000,6227,3394.073259,5.850000
gen535,6.891000,5471,3295.609760,6.450000
gen536,6.445000,4893,3260.864590,6.450000
gen537,6.854000,5531,3204.119276,6.300000
gen538,6.241000,5327,3400.317204,6.000000
gen539,6.083000,5091,3355.563222,6.150000
gen540,6.356000,5520,3364.803108,6.000000
gen541,6.188000,5432,3376.223464,6.300000
gen542,6.106000,5440,3399.688224,5.850000
gen543,6.727000,6474,3199.788838,6.450000
gen544,6.324000,5599,3335.428643,6.450000
gen545,6.645000,5591,3439.874129,5.850000
gen546,6.599000,5700,3363.143209,6.150000
gen547,6.683000,5871,3358.053248,6.000000
gen548,6.727000,6453,3329.679800,6.150000
gen549,7.057000,5579,3255.719165,6.450000
gen550,6.694000,5198,3476.832058,5.850000
gen551,6.725000,5986,3308.511470,6.450000
gen552,7.004000,5796,3287.550254,6.300000
gen553,6.954000,5809,3287.200402,6.000000
gen554,6.725000,5889,3338.642143,6.150000
gen555,6.302000,5371,3484.277493,5.850000
gen556,6.690000,4638,3196.604612,6.300000
gen557,6.198000,4766,3420.748770,5.850000
gen558,6.134000,4892,3380.792274,6.000000
gen559,6.166000,4715,3422.769280,6.150000
gen560,6.207000,3992,3404.156760,5.700000
gen561,6.194000,5497,3340.243049,6.000000
gen562,6.844000,3874,3558.151088,5.550000
gen563,6.302000,4971,3428.930017,6.150000
gen564,6.481000,4655,3380.909040,5.850000
gen565,5.711000,4138,3386.991204,6.150000
gen566,5.902000,4380,3351.242728,6.300000
gen567,6.089000,4408,3273.863388,6.000000
gen568,6.110000,4803,3448.594003,6.000000
gen569,5.735000,3982,3463.005972,5.850000
gen570,6.362000,5430,3356.021953,5.850000
gen571,5.919000,4276,3361.209910,5.850000
gen572,6.250000,4655,3343.132563,6.000000
gen573,6.349000,4291,3440.215413,5.850000
gen574,5.908000,4489,3303.303344,6.450000
gen575,6.265000,5088,3422.108193,6.000000
gen576,7.064000,4979,3315.536113,6.000000
gen577,6.322000,5189,3474.933563,5.400000
gen578,6.528000,5550,3294.780268,6.450000
gen579,6.915000,4944,3271.706318,6.300000
gen580,6.783000,5386,3292.990859,6.150000
gen581,6.422000,4197,3479.402659,5.400000
gen582,6.926000,5116,3385.282979,6.150000
gen583,6.539000,5607,3393.278930,6.000000
gen584,7.106000,6093,3129.787860,6.450000
gen585,6.671000,5418,3252.179857,6.300000
gen586,6.060000,5500,3293.140948,6.300000
gen587,5.937000,4884,3325.349821,6.150000
gen588,6.123000,4822,3300.727952,6.150000
gen589,6.236000,4873,3342.813736,6.000000
gen590,5.629000,5088,3372.133280,6.450000
gen591,5.808000,5272,3544.425013,5.400000
gen592,6.491000,6711,3243.592159,6.300000
gen593,5.778000,4674,3250.141823,6.450000
gen594,6.760000,6869,3172.685024,6.450000
gen595,7.133000,7032,3234.837615,6.450000
gen596,7.065000,6695,3284.346618,6.450000
gen597,6.507000,6632,3398.420437,5.850000
gen598,6.883000,6848,3161.416671,6.450000
gen599,6.716000,6238,3325.994656,6.450000
gen600,7.178000,6643,3294.783608,6.450000
gen601,6.951000,6741,3271.754527,6.450000
gen602,7.080000,6596,3364.384242,6.150000
gen603,7.043000,6330,3267.823729,6.450000
